Tool,Category,Where it appears,District status,Notes
Gemini (Google),All-purpose assistant,Tools page + Plans page,Approved for teacher use,Listed on PPS approved staff tools
Adobe Express,Design / creative,Tools page (approved),Approved,Listed on PPS approved staff tools
Canva (for Education),Design / creative,Tools page + Plans page,Approved,Listed on PPS approved staff tools
Kami,Document / PDF annotation,Tools page (approved),Approved,Listed on PPS approved staff tools
Screencastify,Screen recording / video,Tools page (approved),Approved,Listed on PPS approved staff tools
NotebookLM,Teacher workflow,Tools page (approved),Approved for teacher use,Added from owner CSV
"Ollama (local, free)",All-purpose assistant,Tools page + Plans page,Approved for teacher use,Added from owner CSV
Diffit,Teacher workflow,Tools page + Plans page,Approved for teacher use,Added from owner CSV
SchoolAI,Classroom / interactive,Tools page + Plans page,Approved for teacher use,Added from owner CSV
Claude (Anthropic),All-purpose assistant,Tools page + Plans page,Under review,Including Claude for education
ChatGPT (OpenAI),All-purpose assistant,Tools page + Plans page,Denied,Consumer ChatGPT denied; teacher version under review
ChatGPT for teachers (OpenAI),All-purpose assistant,Plans page,Under review,Teacher-specific version
Microsoft Copilot / M365,All-purpose assistant,Plans page,Under review,,
MagicSchool,Teacher workflow,Tools page + Plans page,Denied,,
Brisk Teaching,Teacher workflow,Tools page + Plans page,Denied,,
Khanmigo (Khan Academy),Teacher workflow,Tools page + Plans page,Denied,,
Curipod,Classroom / interactive,Tools page + Plans page,Denied,,
